,first_road_class,road_type,speed_limit,junction_detail,light_conditions,weather_conditions,road_surface_conditions,preciptype,conditions,icon
1414,6,6,40,6,1,1,1,None,Clear,clear-day
1415,6,6,20,6,1,1,1,rain,"Rain, Partially cloudy",rain
1416,6,6,20,0,1,1,1,rain,"Rain, Partially cloudy",rain
1417,3,6,30,3,4,7,1,rain,"Rain, Partially cloudy",rain
1418,3,6,30,6,4,1,1,rain,"Rain, Overcast",rain
1419,6,6,20,3,1,1,1,"rain,snow","Snow, Rain, Overcast",rain
1420,4,1,30,1,1,1,1,None,Partially cloudy,partly-cloudy-day
1421,4,2,20,3,4,1,1,rain,"Rain, Overcast",rain
1422,6,6,40,0,6,9,1,rain,"Rain, Overcast",rain
1423,6,6,20,0,1,1,1,None,Partially cloudy,partly-cloudy-day
1424,6,6,20,0,1,1,1,rain,"Rain, Partially cloudy",rain
1425,3,6,30,3,1,1,1,rain,"Rain, Partially cloudy",rain
1426,4,6,20,3,4,9,2,rain,"Rain, Overcast",rain
1427,6,6,30,0,1,1,1,rain,"Rain, Partially cloudy",rain
1428,3,6,30,3,1,1,1,rain,Partially cloudy,partly-cloudy-day
1429,3,2,20,0,1,1,1,None,Partially cloudy,partly-cloudy-day
1430,6,1,20,1,4,9,1,rain,Rain,rain
1431,3,6,20,3,1,1,1,rain,Rain,rain
1432,3,1,20,1,1,1,1,rain,Rain,rain
1433,3,6,30,0,1,9,1,rain,Rain,rain
1434,6,1,30,2,4,1,1,None,Partially cloudy,partly-cloudy-day
1435,3,6,20,0,1,1,1,rain,"Rain, Overcast",rain
1436,6,6,20,8,1,1,4,rain,Rain,rain
1437,6,6,20,3,1,9,1,None,Partially cloudy,partly-cloudy-day
1438,3,3,30,8,4,1,1,None,Partially cloudy,partly-cloudy-day
1439,3,6,30,3,4,1,1,None,Partially cloudy,partly-cloudy-day
1440,6,6,20,3,1,1,1,rain,"Rain, Overcast",rain
1441,6,6,20,0,1,1,1,None,Partially cloudy,partly-cloudy-day
1442,3,6,20,0,1,1,1,rain,Partially cloudy,partly-cloudy-day
1443,6,6,20,0,4,8,1,None,Clear,clear-day
1444,3,6,30,3,1,1,1,rain,Partially cloudy,partly-cloudy-day
1445,3,6,30,3,1,1,2,rain,"Rain, Partially cloudy",rain
1446,4,6,20,0,1,1,1,None,Partially cloudy,partly-cloudy-day
1447,6,6,20,0,1,1,1,None,Clear,clear-day
1448,4,6,20,3,1,1,1,None,Clear,clear-day
1449,6,6,20,3,4,1,1,None,Clear,clear-day
1450,6,6,20,0,1,1,1,None,Clear,clear-day
1451,6,6,20,3,1,1,1,None,Clear,clear-day
1452,6,6,20,0,4,8,1,snow,Overcast,cloudy
1453,3,6,20,6,4,1,1,None,Partially cloudy,partly-cloudy-day
1454,6,6,20,3,4,1,2,rain,"Rain, Partially cloudy",rain
